Sample_Name;COSMIC_ID;Cancer_Type;Microsatellite_Instability_Status;Screen_Medium;Growth_Properties
NCI-SNU-16;908446;STAD;MSS/MSI-L;R;Suspension
NCI-SNU-5;908445;STAD;MSS/MSI-L;D/F12;Suspension
NUGC-3;908455;STAD;MSI-H;R;Adherent
NUGC-4;1298357;STAD;MSS/MSI-L;R;Adherent
OCUM-1;1298358;STAD;MSS/MSI-L;D/F12;Adherent
RERF-GC-1B;1240209;STAD;MSS/MSI-L;R;Adherent
RF-48;909697;STAD;MSS/MSI-L;D/F12;Adherent
SCH;909711;;MSS/MSI-L;R;Adherent
SK-GT-2;1503364;STAD;MSS/MSI-L;R;Adherent
TGBC11TKB;909770;STAD;MSI-H;D/F12;Adherent
SW13;909744;ACC;MSS/MSI-L;D/F12;Adherent
769-P;910922;KIRC;MSS/MSI-L;R;Adherent
786-0;905947;KIRC;MSS/MSI-L;R;Adherent
A498;905948;KIRC;MSS/MSI-L;D/F12;Adherent
A704;910920;KIRC;MSS/MSI-L;D/F12;Adherent
ACHN;905950;KIRC;MSS/MSI-L;R;Adherent
BB65-RCC;753533;KIRC;MSS/MSI-L;D/F12;Adherent
BFTC-909;910698;KIRC;MSS/MSI-L;D/F12;Adherent
CAKI-1;905963;KIRC;MSS/MSI-L;R;Adherent
CAL-54;910952;KIRC;MSS/MSI-L;D/F12;Adherent
G-401;907299;;MSS/MSI-L;R;Adherent
HA7-RCC;753558;KIRC;MSS/MSI-L;D/F12;Adherent
KMRC-1;1298168;KIRC;MSS/MSI-L;D/F12;Adherent
KMRC-20;1298169;KIRC;MSS/MSI-L;D/F12;Adherent
LB1047-RCC;753577;KIRC;MSI-H;D/F12;Adherent
LB2241-RCC;753578;KIRC;MSS/MSI-L;D/F12;Adherent
LB996-RCC;753585;KIRC;MSS/MSI-L;D/F12;Adherent
NCC010;1509073;KIRC;MSS/MSI-L;R;Adherent
NCC021;1509074;KIRC;MSS/MSI-L;D/F12;Adherent
OS-RC-2;909250;KIRC;MSS/MSI-L;R;Adherent
RCC10RGB;909974;KIRC;MSS/MSI-L;D/F12;Adherent
RCC-AB;1524418;KIRC;MSS/MSI-L;D/F12;Adherent
RCC-ER;1524417;KIRC;MSS/MSI-L;D/F12;Adherent
RCC-FG2;1524414;KIRC;MSS/MSI-L;D/F12;Adherent
